model,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std
Baseline (majority),0.7343049835458031,0.0,0.0,0.0,0.5,0.26569501645419696,0.05791387502850136,0.0,0.0,0.0,0.0,0.05791387502850137
Baseline (stratified),0.6092986245764088,0.26575584152904885,0.26244000193152733,0.2588204352381086,0.49957615103453745,0.2657020635102432,0.018004792253179996,0.06065217409482147,0.01050081241863261,0.032011399762981035,0.003570164637746191,0.05863234043434237
Decision Tree (depth 3),0.6876594659249444,0.3362625313283208,0.3774467622772707,0.3461514367598134,0.6195403030980321,0.339225863634073,0.08087231330128403,0.17279722858623667,0.21493768369578686,0.1783335229843349,0.040876462995205476,0.0693475670452194
Logistic Regression,0.6224837107232263,0.33568254455686536,0.48849068382966676,0.33945811533682185,0.6171069708177112,0.34727959320545293,0.13575654513648772,0.05365709381904811,0.35370437649972414,0.19041607526685184,0.051229772903974534,0.08829293043794491
Random Forest,0.6537650536975581,0.33545558762926264,0.29142439794982167,0.2965843939235706,0.5797544075111417,0.328466437430327,0.023964697641107844,0.12908028857124945,0.14488725600752522,0.1275231678433481,0.07810138111246351,0.10131380871244455
Gradient Boosting,0.7202855678249488,0.3660818830285405,0.0707469492215255,0.1082202789950423,0.5912629685898859,0.32845433506897703,0.04464249035790088,0.11275310535763458,0.05806701558179907,0.0754075562988691,0.0361064356098712,0.07807126673288416
