route_id,transport_mode,mean_speed,handoff_next_rate,n
iulius_airport,car,44.42464393939394,0.3314393939393939,7920
iulius_dumbravita,car,34.31552777777778,0.4635416666666667,2880
complex_giroc,bus,21.11030701754386,0.25,2280
victoriei_michelangelo_complex,bus,18.398037037037035,0.12962962962962962,1620
aem_complex,tram,15.895196078431374,0.375,2040
complex_aem,tram,15.389216666666666,0.22142857142857142,4200
gara_traian,tram,14.325329059829059,0.23076923076923078,4680
victoriei_iulius,walking,4.239682291666666,0.171875,3840
bega_parcuri,walking,4.190897849462366,0.11290322580645161,1860
